input,model,top0,top1,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top2,top3,top4,top5,top6,top7,top8,top9,right
信用卡掉落,topic,信用卡密码想不起来了,重设信用卡密码,手机银行办理信用卡还款,手机银行能给信用卡还款吗,换不同卡号的银行卡,换一张新卡号的银行卡,能否申请银行卡,可不可以申请银行卡,有身份证可不可以申请银行卡,有身份证能否申请银行卡,有身份证可不可以开通银行卡,有身份证能否开通银行卡,信用卡密码重设,重置信用卡密码,信用卡密码忘了,重新设置信用卡密码,我之前有建行的信用卡，现在想办一张储蓄卡,记不到信用卡密码了,怎么通过手机银行办理信用卡还款,我要开建行龙卡,0
信用卡掉落,dssm,我不知道叫号机,不知道什么是叫号机,领一下《就业失业手册》,怎么领《就业失业手册》,什么是龙支付,龙支付是啥,龙支付是什么,手机银行交煤气费,手机银行交电费,手机银行的安全性如何,想开通电话,手机银行怎么交生活费用,叫号机什么样子的,什么是叫号机,叫号机,叫号机位置,哪里找叫号机,客服电话,手机银行交水电煤气费,我要领《就业失业手册》,1
信用卡掉落,tfidf,信用卡密码想不起来,信用卡密码忘,记不到信用卡密码,手机银行能给信用卡还款,通过手机银行办理信用卡还款,之前建行信用卡现在办一张储蓄卡,,,,,,,重设信用卡密码,重置信用卡密码,手机银行还信用卡,信用卡密码重设,重新设置信用卡密码,手机银行能不能还信用卡,手机银行办理信用卡还款,用手机银行还信用卡,1
缴纳交通罚款如何操作,topic,预约了公积金缴存，怎么操作,怎么开龙支付功能,我想办一下公积金缴纳,可不可以告诉我申请龙支付功能,可不可以帮助我申请龙支付功能,我想办公积金缴纳,可不可以指导我开通龙支付功能,是否能够指导我打印公积金缴费记录,能不能指导我申请龙支付功能,是否能够指导我办一下公积金缴纳,想办一下公积金缴纳,告诉我是否能够打印公积金缴费记录,如何开龙支付功能,可不可以指导我申请龙支付功能,怎么申请龙支付功能,如何申请龙支付功能,如何开龙支付,怎么开龙支付,怎样开龙支付功能,可不可以给我申请龙支付功能,0
缴纳交通罚款如何操作,dssm,不用手机银行了,想开电话银行,想开基本户,领一下《就业失业手册》,怎么领《就业失业手册》,手机银行怎么交生活费用,我要领《就业失业手册》,手机银行交保险费,手机银行怎么交保费,手机银行交保费,手机银行怎么交保险费,想开一下龙支付,想开一下电话银行,想开建行卡,想开一般户,想开一下黄金账户,想开黄金账户,想开通电话,不知道什么是叫号机,我不知道叫号机,0
缴纳交通罚款如何操作,tfidf,手机银行交交通罚款,手机银行能交交通罚款,告诉怎么办公积金缴纳业务,手机银行交交通违章罚款,告诉办公积金缴纳,手机银行操作理财认购,手机银行操作国债认购,手机银行操作基金认购,网银操作国债认购,能不能办理公积金缴纳,网银操作基金认购,预约公积金缴存操作,怎么办公积金缴纳,公积金缴纳业务,怎么办公积金缴纳业务,办公积金缴纳,办理公积金缴纳,办公积金缴纳业务,告诉怎么办公积金缴纳,办理公积金缴纳业务,0
信用卡汇款还款,topic,网银转账限额,网银转账限额修改,修改网银转账额度限制,怎么开立入账短信提示,如何开立入账短信提示,怎样开立入账短信提示,降低网银转账额度限制,提高网银转账额度限制,想开立入账短信提示,要开立入账短信提示,想要开立入账短信提示,短信银行费用,降低网银转账限额,提高网银转账限额,网银转账限额调整,网银转账的额度限制,改一下网银转账限额,网银的转账额度是多少,网银的转账限额是多少,网银转账的额度上线,0
信用卡汇款还款,dssm,叫号机什么样子的,叫号机位置,不知道什么是叫号机,手机银行怎么交生活费用,哪里找叫号机,手机银行交电费,手机银行交保费,手机银行怎么交保险费,手机银行交保险费,手机银行怎么交保费,想开建行卡,想开基本户,我要领《就业失业手册》,领一下《就业失业手册》,怎么领《就业失业手册》,手机银行交煤气费,手机银行交水电煤气费,什么是叫号机,叫号机,我不知道叫号机,0
信用卡汇款还款,tfidf,手机银行办理信用卡还款,手机银行能给信用卡还款,手机银行能不能还信用卡,用手机银行还信用卡,记不到信用卡密码,之前建行信用卡现在办一张储蓄卡,,,,,,,通过手机银行办理信用卡还款,信用卡密码想不起来,信用卡密码忘,重设信用卡密码,重置信用卡密码,手机银行还信用卡,信用卡密码重设,重新设置信用卡密码,0
网站注销账户变动会有短信通知吗,topic,可以给我申请账户变动发短信,怎样申请账户变动发短信,可以告诉我申请账户变动发短信,想要申请账户变动发短信功能,可不可以给我申请账户变动发短信功能,能不能给我申请账户变动发短信,可以给我申请账户变动发短信功能,怎么办一下账户变动发短信,可以告诉我申请账户变动发短信功能,要申请账户变动发短信功能,可不可以给我申请账户变动发短信,怎么申请账户变动发短信功能,怎么办账户变动发短信,要申请账户变动发短信,怎样申请账户变动发短信功能,如何申请账户变动发短信,怎么申请账户变动发短信,想要申请账户变动发短信,怎么办账户变动发短信功能,想申请账户变动发短信,0
网站注销账户变动会有短信通知吗,dssm,领取《就业失业手册》,手机银行可以交保险费吗,《就业失业手册》在哪里领,想开一般户,自助机在哪里,想开一下黄金账户,想开黄金账户,什么是建房批文,建房批文是什么,建房批文是啥,想开通电话,想开基本户,手机银行可以交保费吗,叫号机在什么地方,注销电话银行,不想用手机银行了,手机银行的安全性如何,我有带护照想开建行卡,可以用手机银行排号吗,龙支付定义,0
网站注销账户变动会有短信通知吗,tfidf,注销短信银行,怎么办账户变动发短信,手机号码变动注销绑定,办账户变动发短信功能,开通账户变动发短信功能,开账户变动发短信功能,开立账户变动发短信功能,想开账户变动发短信功能,办理账户变动发短信功能,申请账户变动发短信功能,怎么办账户,怎么办短信,怎么办账户变动发短信功能,办账户变动发短信,开账户变动发短信,想开账户变动发短信,办理账户变动发短信,申请账户变动发短信,开立账户变动发短信,开通账户变动发短信,1
